"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type","Spin Rate","Spin Axis"
"7i",,,"111.0","119.2","150.1","18.9","-3.6","17.3","0.7","120.9","1.24","40.0","-6.1","-6.3",0,"6994","8.5"
"7i",,,"106.8","127.4","137.6","22.1","-4.7","13.9","-7.5","124.5","1.11","31.6","-2.6","-5.2",0,"1495","-0.1"
"7i",,,"114.4","123.2","153.7","17.8","-5.3","17.1","-1.5","120.0","1.28","39.2","-5.2","-6.8",0,"6774","9.8"
"7i",,,"115.2","123.1","153.1","22.3","-3.7","21.6","-19.1","126.3","1.21","44.9","-3.8","-9.1",0,"6471","-16.4"
"7i",,,"104.0","113.4","142.5","18.6","-3.0","14.9","-4.7","121.8","1.17","37.1","-3.7","-6.3",0,"6122","-0.7"
"7i",,,"117.1","124.4","155.4","21.5","-6.1","22.1","-9.7","128.1","1.21","45.2","-6.9","-11.2",0,"7391","1.6"
"7i",,,"123.9","132.1","163.5","18.0","-7.2","20.4","-15.7","128.1","1.28","42.5","-6.6","-9.6",0,"7497","-1.8"
"7i",,,"21.4","104.1","166.2","1.6","-3.2","0.2","-0.9","125.4","1.33","1.8","-4.8","-12.5",0,"1006","8.2"
"7i",,,"107.8","116.7","149.7","15.7","-3.2","13.7","-5.0","122.0","1.23","35.0","-3.6","-6.6",0,"7337","-0.3"
"7i",,,"122.7","130.8","161.8","18.3","-6.8","20.3","-10.9","129.0","1.25","42.5","-5.1","-8.7",0,"7266","2.4"
"7i",,,"109.0","118.2","147.4","18.3","-8.2","15.9","-11.5","120.9","1.22","38.1","-5.7","-7.0",0,"6283","3.9"
"7i",,,"108.9","125.0","138.1","23.0","-6.2","15.7","-6.9","124.5","1.11","34.7","-3.6","-9.2",0,"2078","7.8"
"7i",,,"115.4","125.7","156.5","14.7","-8.6","14.3","-9.0","129.0","1.21","34.7","-6.3","-9.4",0,"6358","8.9"
"7i",,,"115.7","124.2","153.6","19.1","-5.2","18.7","-3.8","127.2","1.21","41.2","-6.7","-10.2",0,"6644","6.5"
"7i",,,"106.3","116.5","142.6","20.3","-7.1","16.6","-12.8","122.7","1.16","39.2","-8.7","-9.9",0,"5298","-1.5"
"7i",,,"85.9","115.2","137.3","15.3","-11.1","6.8","-12.6","124.5","1.10","19.7","-0.6","-4.9",0,"1056","16.6"
"7i",,,"88.7","109.8","140.2","15.3","-13.6","7.5","-29.3","119.1","1.18","21.7","-1.2","-8.4",0,"2019","-38.1"
"7i",,,"126.0","133.9","165.0","18.9","-7.0","22.0","-9.9","129.0","1.28","44.0","-4.3","-8.3",0,"7212","4.0"
"7i",,,"102.1","122.4","141.3","17.2","-9.4","10.1","-14.8","119.1","1.19","25.2","-6.9","-13.9",0,"1759","1.8"
"7i",,,"61.3","76.5","114.7","12.8","-2.7","4.7","-4.6","120.0","0.96","20.5","-4.3","-11.3",0,"6999","-11.1"
"7i",,,"106.9","116.6","145.8","18.1","-3.1","15.0","2.7","127.2","1.15","37.0","-8.3","-12.3",0,"6053","10.7"
"7i",,,"102.3","110.0","140.2","22.2","-1.6","17.7","6.3","116.4","1.20","41.8","-8.7","-16.2",0,"6635","12.3"
"7i",,,"72.3","97.4","146.3","5.7","-0.6","2.7","5.5","119.1","1.23","11.4","-11.5","-12.3",0,"5082","20.6"
"7i",,,"100.7","113.0","146.1","13.7","-4.2","10.3","2.1","123.6","1.18","29.1","-11.0","-10.0",0,"6035","14.5"
"7i",,,"110.0","121.0","150.8","15.2","-6.6","13.1","-4.3","126.3","1.19","33.0","-7.7","-10.4",0,"5598","10.4"
"7i",,,"102.6","112.5","142.0","18.0","-6.9","13.9","-5.1","116.4","1.22","35.7","-7.5","-11.8",0,"6014","9.7"
"7i",,,"121.9","130.4","162.3","16.9","-6.9","18.6","-7.3","125.4","1.29","40.5","-7.7","-9.4",0,"7503","6.7"
